timestamp,capteur,valeur,unite
1785247840069,Température,20.310565481190476,°C
1785247840070,Humidité,46.04721332452107,%
1785247840070,Pression,1020.0156044857457,hPa
1785247840070,Température,28.326445107882297,°C
1785247840070,Humidité,88.84253736184634,%
1785247840070,Pression,999.638946637577,hPa
1785247840070,Température,21.685162827509682,°C
1785247840070,Humidité,32.64488871662754,%
1785247840070,Pression,999.1677343640039,hPa
1785247840070,Température,19.92259289338838,°C
1785247840070,Humidité,47.57153664075528,%
1785247840070,Pression,1002.4945751430823,hPa
1785247840070,Température,32.68628783404883,°C
1785247840070,Humidité,46.60574103506648,%
1785247840070,Pression,1035.2661052631377,hPa
1785247840070,Température,19.085885196180612,°C
1785247840070,Humidité,89.31444284724097,%
1785247840070,Pression,1031.6833761915243,hPa
1785247840070,Température,32.21063270202302,°C
1785247840070,Humidité,41.107645102206725,%
1785247840070,Pression,1005.3748560163341,hPa
1785247840070,Température,20.252074976796223,°C
1785247840070,Humidité,33.22982291436857,%
1785247840070,Pression,1006.3002310468956,hPa
1785247840070,Température,29.411933908945652,°C
1785247840070,Humidité,81.64378205552973,%
1785247840070,Pression,1017.4055087275062,hPa
1785247840070,Température,33.04039719216435,°C
1785247840070,Humidité,30.765291215338305,%
1785247840070,Pression,1023.0689262240858,hPa
